participant_id,Group
1,1
2,2
3,2
4,1
5,2
6,1
7,2
8,1
9,2
10,1
11,2
12,1
13,2
14,2
15,1
16,2
17,1
18,2
19,1
20,2
21,1
22,2
23,1
24,1
25,2
26,1
27,2
28,1
29,2
30,1
31,2
32,1
33,2
34,1
35,2
36,2
37,1
38,2
39,1
40,2
41,1
42,2
43,1
44,2
45,1
46,1
47,2
48,1
49,2
50,1
51,2
52,1
53,2
54,1
55,2
56,1
57,2
58,2
59,1
60,2
61,1
62,2
63,1
64,2
65,1
66,2
67,1
68,1
69,2
70,1
71,2
72,1
73,2
74,1
75,2
76,1
77,2
78,1
79,2
80,2
81,1
82,2
83,1
84,2
85,1
86,2
87,1
88,2
89,1
90,1
91,2
92,1
93,2
94,1
95,2
96,1
97,2
98,1
99,2
100,1
