LEDISAS1	Code = 4	
SubNo	Group(1=OHRHV,SLRLV; 2=OHRLV,SLRHV; 3=OLRHV,SHRLV, 4 = OLRLV,SHRHV)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RewardOutcome(0=inaccurate;1=lowReward;2=highReward)	VarianceOutcome(0=inaccurate; 1=lowVariance; 2=highVariance)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
4	4	1	0	1	1	8	30	2	4	4	2	1	NaN	NaN	0	0	816	1	NaN
4	4	1	1	1	1	40	38	2	5	5	2	1	1	1	2.700000e-01	2.700000e-01	2731	1	NaN
4	4	2	1	1	2	23	49	4	2	2	2	1	1	1	3.600000e-01	6.300000e-01	974	1	1
4	4	3	1	1	3	12	18	5	3	3	2	1	1	1	3.300000e-01	9.600000e-01	1574	1	1
4	4	4	1	1	4	26	48	4	3	3	2	1	1	1	2.600000e-01	1.220000e+00	1553	1	1
4	4	5	1	1	5	21	37	3	4	4	2	1	1	1	5.800000e-01	1.800000e+00	1524	1	1
4	4	1	2	1	6	2	25	5	3	3	2	1	1	1	3.000000e-01	2.100000e+00	2052	1	NaN
4	4	2	2	2	1	25	27	4	5	5	2	1	2	2	0	2.100000e+00	1462	0	1
4	4	3	2	2	2	18	38	2	5	2	1	1	1	1	5.400000e-01	2.640000e+00	1736	1	2
4	4	4	2	2	3	13	26	3	4	3	1	1	1	1	3.700000e-01	3.010000e+00	585	1	1
4	4	5	2	2	4	51	21	4	3	4	1	1	1	1	2.000000e-01	3.210000e+00	3374	1	1
4	4	1	3	2	5	7	52	3	2	3	1	1	1	1	4.100000e-01	3.620000e+00	1969	1	NaN
4	4	2	3	1	1	53	1	4	2	2	2	1	1	1	4.800000e-01	4.100000e+00	776	1	2
4	4	3	3	1	2	46	53	2	4	2	1	1	2	2	2.400000e-01	4.340000e+00	2999	0	2
4	4	4	3	2	1	21	43	5	3	3	2	1	2	2	7.300000e-01	5.070000e+00	1763	0	2
4	4	5	3	1	1	7	14	4	3	3	2	1	1	1	3.200000e-01	5.390000e+00	511	1	1
4	4	1	4	1	1	30	13	3	5	3	1	1	2	2	1.200000e-01	5.510000e+00	1583	0	NaN
4	4	2	4	1	2	27	34	5	2	5	1	1	2	2	1.220000e+00	6.730000e+00	2202	0	1
4	4	3	4	1	3	34	11	3	4	3	1	1	2	2	6.600000e-01	7.390000e+00	720	0	1
4	4	4	4	1	4	9	46	5	4	4	2	1	1	1	4.000000e-01	7.790000e+00	2813	1	2
4	4	5	4	1	5	19	14	4	2	2	2	1	1	1	2.500000e-01	8.040000e+00	590	1	1
4	4	1	5	1	1	53	31	3	4	3	1	1	2	2	3.600000e-01	8.400000e+00	2787	0	NaN
4	4	2	5	1	2	6	24	4	3	4	1	1	2	2	8.200000e-01	9.220000e+00	1880	0	1
4	4	3	5	1	3	11	37	5	3	5	1	1	2	2	7.200000e-01	9.940000e+00	3391	0	1
4	4	4	5	1	4	24	54	5	4	5	1	1	2	2	1.540000e+00	1.148000e+01	5169	0	1
4	4	5	5	1	5	22	37	3	5	3	1	1	2	2	5.400000e-01	1.202000e+01	2256	0	1
4	4	1	6	1	1	22	33	3	2	2	2	1	1	1	5.900000e-01	1.261000e+01	1597	1	NaN
4	4	2	6	1	2	25	1	2	3	2	1	1	2	2	1.380000e+00	1.399000e+01	1693	0	2
4	4	3	6	1	3	12	1	3	4	3	1	1	2	2	4.000000e-01	1.439000e+01	1515	0	1
4	4	4	6	1	4	17	15	4	5	4	1	1	2	2	5.800000e-01	1.497000e+01	1503	0	1
4	4	5	6	1	5	36	10	5	3	3	2	1	1	1	3.300000e-01	1.530000e+01	5277	1	2
4	4	1	7	1	1	2	26	3	4	4	2	1	1	1	4.300000e-01	1.573000e+01	3776	1	NaN
4	4	2	7	1	2	26	13	2	4	3	0	0	0	0	0	1.573000e+01	1334	NaN	NaN
4	4	3	7	1	3	12	39	3	5	3	1	1	2	2	3.300000e-01	1.606000e+01	643	0	NaN
4	4	4	7	1	4	25	6	2	3	2	1	1	2	2	3.300000e-01	1.639000e+01	1188	0	1
4	4	5	7	1	5	37	15	5	4	5	1	1	2	2	5.700000e-01	1.696000e+01	2629	0	1
4	4	1	8	1	1	2	32	5	3	5	1	1	2	2	6.600000e-01	1.762000e+01	1443	0	NaN
4	4	2	8	1	2	1	41	5	2	5	1	1	2	2	8.000000e-01	1.842000e+01	924	0	1
4	4	3	8	1	3	3	32	3	2	4	0	0	0	0	0	1.842000e+01	2851	NaN	NaN
4	4	4	8	1	4	28	16	4	5	4	1	1	2	2	1.170000e+00	1.959000e+01	1721	0	NaN
4	4	5	8	1	5	50	14	4	2	2	2	1	1	1	4.100000e-01	2.000000e+01	1307	1	2
