LEDISAS1	Code = 2	
SubNo	Group(1=OHRHV,SLRLV; 2=OHRLV,SLRHV; 3=OLRHV,SHRLV, 4 = OLRLV,SHRHV)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RewardOutcome(0=inaccurate;1=lowReward;2=highReward)	VarianceOutcome(0=inaccurate; 1=lowVariance; 2=highVariance)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
2	2	1	0	1	1	17	6	2	3	2	1	1	NaN	NaN	0	0	3270	0	NaN
2	2	1	1	1	1	33	42	5	4	4	2	1	2	1	7.300000e-01	7.300000e-01	4408	1	NaN
2	2	2	1	1	2	42	29	4	2	2	2	1	2	1	5.400000e-01	1.270000e+00	1436	1	1
2	2	3	1	2	1	5	42	2	4	4	2	1	1	2	3.700000e-01	1.640000e+00	2728	0	1
2	2	4	1	2	2	49	8	3	2	3	1	1	2	1	4.300000e-01	2.070000e+00	3351	1	2
2	2	5	1	2	3	26	49	2	3	2	1	1	2	1	6.100000e-01	2.680000e+00	1933	1	1
2	2	1	2	1	1	1	29	3	4	3	1	1	1	2	5.500000e-01	3.230000e+00	890	0	NaN
2	2	2	2	1	2	13	8	4	5	4	1	1	1	2	1.800000e-01	3.410000e+00	1388	0	1
2	2	3	2	1	3	51	47	5	3	3	2	1	2	1	8.100000e-01	4.220000e+00	1892	1	2
2	2	4	2	1	4	1	42	5	2	5	1	1	1	2	4.000000e-02	4.260000e+00	1210	0	2
2	2	5	2	2	1	5	24	4	3	3	2	1	1	2	8.300000e-01	5.090000e+00	2218	0	2
2	2	1	3	2	2	53	44	4	2	2	2	1	1	2	2.800000e-01	5.370000e+00	1754	0	NaN
2	2	2	3	2	3	37	4	5	3	3	2	1	1	2	5.100000e-01	5.880000e+00	3950	0	1
2	2	3	3	2	4	18	48	3	2	2	2	1	1	2	7.800000e-01	6.660000e+00	1787	0	1
2	2	4	3	1	1	37	6	3	4	3	1	1	1	2	3.000000e-02	6.690000e+00	2532	0	2
2	2	5	3	1	2	34	54	3	5	3	1	1	1	2	0	6.690000e+00	3630	0	1
2	2	1	4	1	1	38	21	2	4	4	2	1	2	1	5.500000e-01	7.240000e+00	2972	1	NaN
2	2	2	4	1	2	46	14	2	3	3	2	1	2	1	6.500000e-01	7.890000e+00	1623	1	1
2	2	3	4	2	1	27	37	4	5	4	1	1	2	1	8.500000e-01	8.740000e+00	3693	1	2
2	2	4	4	2	2	51	52	4	3	2	0	0	0	0	0	8.740000e+00	2842	NaN	NaN
2	2	5	4	2	3	28	30	2	5	5	2	1	1	2	3.100000e-01	9.050000e+00	819	0	NaN
2	2	1	5	1	1	8	44	2	3	3	2	1	2	1	8.100000e-01	9.860000e+00	3207	1	NaN
2	2	2	5	1	2	11	38	5	2	2	2	1	2	1	5.800000e-01	1.044000e+01	4235	1	1
2	2	3	5	2	1	25	43	2	4	2	1	1	2	1	6.700000e-01	1.111000e+01	2159	1	2
2	2	4	5	2	2	8	19	4	5	5	2	1	1	2	6.100000e-01	1.172000e+01	3303	0	2
2	2	5	5	2	3	51	4	4	3	3	2	1	1	2	2.100000e-01	1.193000e+01	2245	0	1
2	2	1	6	1	1	48	16	4	3	3	2	1	2	1	7.200000e-01	1.265000e+01	2804	1	NaN
2	2	2	6	1	2	39	18	3	4	4	2	1	2	1	7.500000e-01	1.340000e+01	1959	1	1
2	2	3	6	2	1	20	15	2	5	5	2	1	1	2	3.000000e-01	1.370000e+01	1615	0	1
2	2	4	6	2	2	42	33	2	4	3	0	0	0	0	0	1.370000e+01	1076	NaN	NaN
2	2	5	6	2	3	42	12	3	5	5	2	1	1	2	7.500000e-01	1.445000e+01	3077	0	NaN
2	2	1	7	1	1	39	15	2	4	4	2	1	2	1	9.400000e-01	1.539000e+01	1144	1	NaN
2	2	2	7	1	2	28	49	4	5	4	1	1	1	2	5.800000e-01	1.597000e+01	1049	0	2
2	2	3	7	2	1	8	18	2	5	5	2	1	1	2	3.300000e-01	1.630000e+01	1195	0	2
2	2	4	7	2	2	15	26	4	3	3	2	1	1	2	7.600000e-01	1.706000e+01	1443	0	1
2	2	5	7	2	3	46	2	3	2	2	2	1	1	2	3.600000e-01	1.742000e+01	1104	0	1
