LEDISAS1	Code = 5	
SubNo	Group(1=OHRHV,SLRLV; 2=OHRLV,SLRHV; 3=OLRHV,SHRLV, 4 = OLRLV,SHRHV)	Block_trial	Block	VarDist_cond	Run_number	Targ1_position	Targ2_position	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RewardOutcome(0=inaccurate;1=lowReward;2=highReward)	VarianceOutcome(0=inaccurate; 1=lowVariance; 2=highVariance)	OutcomeValue	Points	RT	Optimal_Choice	Repeat_Switch
5	1	1	0	1	1	33	1	4	3	3	2	1	NaN	NaN	0	0	510	1	NaN
5	1	1	1	1	1	4	46	3	4	4	2	1	2	2	1	1	1894	1	NaN
5	1	2	1	1	2	24	34	5	3	3	2	1	2	2	1.050000e+00	2.050000e+00	2433	1	1
5	1	3	1	1	3	47	31	4	2	3	0	0	0	0	0	2.050000e+00	2489	NaN	NaN
5	1	4	1	2	1	23	54	2	3	2	1	1	2	2	9.700000e-01	3.020000e+00	1875	1	NaN
5	1	5	1	2	2	33	47	5	4	5	1	1	2	2	1.280000e+00	4.300000e+00	1670	1	1
5	1	1	2	2	3	14	41	4	2	4	1	1	2	2	8.200000e-01	5.120000e+00	839	1	NaN
5	1	2	2	2	4	1	29	3	2	3	1	1	2	2	3.500000e-01	5.470000e+00	610	1	1
5	1	3	2	1	1	44	37	5	4	4	2	1	2	2	6.000000e-01	6.070000e+00	2629	1	2
5	1	4	2	1	2	16	52	3	4	4	2	1	2	2	8.900000e-01	6.960000e+00	3789	1	1
5	1	5	2	2	1	11	15	4	5	4	1	1	2	2	7.200000e-01	7.680000e+00	915	1	2
5	1	1	3	2	2	35	26	5	3	5	1	1	2	2	3.900000e-01	8.070000e+00	1802	1	NaN
5	1	2	3	2	3	31	46	2	5	2	1	1	2	2	3.600000e-01	8.430000e+00	2305	1	1
5	1	3	3	1	1	14	37	4	3	3	2	1	2	2	1.600000e-01	8.590000e+00	2872	1	2
5	1	4	3	1	2	8	7	5	2	2	2	1	2	2	6.400000e-01	9.230000e+00	1386	1	1
5	1	5	3	1	3	30	49	3	2	2	2	1	2	2	8.500000e-01	1.008000e+01	1480	1	1
5	1	1	4	1	1	24	28	5	4	4	2	1	2	2	5.100000e-01	1.059000e+01	1102	1	NaN
5	1	2	4	1	2	6	15	5	3	3	2	1	2	2	4.300000e-01	1.102000e+01	1041	1	1
5	1	3	4	1	3	5	13	3	4	4	2	1	2	2	6.500000e-01	1.167000e+01	2356	1	1
5	1	4	4	2	1	4	19	2	3	2	1	1	2	2	5.800000e-01	1.225000e+01	2692	1	2
5	1	5	4	2	2	16	51	2	5	2	1	1	2	2	2.200000e-01	1.247000e+01	879	1	1
5	1	1	5	1	1	16	51	3	2	2	2	1	2	2	1.280000e+00	1.375000e+01	1466	1	NaN
5	1	2	5	1	2	23	20	4	2	2	2	1	2	2	8.700000e-01	1.462000e+01	1133	1	1
5	1	3	5	1	3	19	14	5	3	3	2	1	2	2	1.270000e+00	1.589000e+01	1375	1	1
5	1	4	5	2	1	16	1	3	4	4	2	1	1	1	2.700000e-01	1.616000e+01	1547	0	1
5	1	5	5	2	2	23	49	2	5	2	1	1	2	2	1.400000e-01	1.630000e+01	1153	1	2
5	1	1	6	1	1	52	35	4	3	3	2	1	2	2	1.050000e+00	1.735000e+01	3225	1	NaN
5	1	2	6	1	2	32	22	3	4	4	2	1	2	2	6.900000e-01	1.804000e+01	1148	1	1
5	1	3	6	1	3	24	32	5	3	3	2	1	2	2	3.100000e-01	1.835000e+01	1722	1	1
5	1	4	6	2	1	47	22	3	2	3	1	1	2	2	6.200000e-01	1.897000e+01	2658	1	2
5	1	5	6	2	2	6	46	4	5	4	1	1	2	2	1.180000e+00	2.015000e+01	1963	1	1
5	1	1	7	1	1	21	29	4	2	2	2	1	2	2	2.000000e-01	2.035000e+01	2323	1	NaN
5	1	2	7	1	2	2	23	3	5	5	2	1	2	2	3.400000e-01	2.069000e+01	1455	1	1
5	1	3	7	1	3	51	37	2	3	3	2	1	2	2	1.300000e+00	2.199000e+01	1460	1	1
5	1	4	7	2	1	12	38	4	5	4	1	1	2	2	2.400000e-01	2.223000e+01	856	1	2
5	1	5	7	2	2	18	44	3	4	3	1	1	2	2	4.700000e-01	2.270000e+01	1343	1	1
5	1	1	8	1	1	16	7	5	3	3	2	1	2	2	4.300000e-01	2.313000e+01	2576	1	NaN
5	1	2	8	1	2	31	50	3	5	5	2	1	2	2	1.430000e+00	2.456000e+01	4102	1	1
5	1	3	8	1	3	48	9	2	5	5	2	1	2	2	7.100000e-01	2.527000e+01	1446	1	1
5	1	4	8	2	1	23	12	2	4	4	2	1	1	1	2.100000e-01	2.548000e+01	2518	0	1
5	1	5	8	2	2	40	9	4	2	2	2	1	1	1	2.000000e-01	2.568000e+01	1270	0	1
