Sub	group	acc	RT	RTopt	RTsubopt	propOpt	Switches	totalPoints	Nblocks
1	1	0.967262	2174.72	2181.25	2119.41	0.889231	0.329032	202.5	4
2	2	0.985119	2640.85	2586.34	3221	0.912387	0.301242	118.07	4
3	1	0.996032	3195.98	3354.18	2855.24	0.685259	0.433198	141.81	3
4	2	0.985119	2414.65	2510.48	2164.44	0.725076	0.329193	138.88	4
5	1	0.928571	2950.55	2876.66	3094.06	0.657051	0.254355	170.63	4
6	2	0.956349	9082.02	9611.61	8674.94	0.431535	0.374449	124.9	3
7	1	0.992063	3887.97	3830.72	3950.55	0.524	0.5	125.88	3
8	2	0.992063	4321.4	3294.16	4992.53	0.392	0.359184	132.95	3
9	1	0.992063	3757.95	3478.85	4402.88	0.692	0.265306	139.99	3
10	2	0.988095	3614.12	3079.16	4039.74	0.441767	0.303279	128.54	3
11	1	0.984127	3389.34	2896.82	3937.53	0.528226	0.124481	125.41	3
12	2	0.988095	2410.49	2087.57	2756.04	0.518072	0.0555556	162.19	4
13	1	1	3566.45	3319.7	3910.46	0.583333	0.321285	131.99	3
14	2	1	2356.04	2351.88	2358.46	0.365079	0.26506	136.41	3
15	1	0.948413	2922.89	2881.25	2953.29	0.422594	0.482143	112.32	3
16	2	0.980159	2848.02	2838.86	3042.91	0.955466	0.280335	85.09	3
17	1	0.970238	2665.26	2526.59	2858.14	0.576687	0.130573	169.39	4
18	2	0.996032	5176.3	6002.3	4451.19	0.458167	0.538462	126.59	3
19	1	0.996032	4698.17	5329.5	4228.03	0.426295	0.497976	118.33	3
20	2	0.988095	4698.09	4836.82	4567.13	0.48996	0.485597	124.55	3
21	1	0.979167	2453.53	2449.08	2462.73	0.674772	0.273585	181.8	4
22	2	0.97619	3540.98	3577.48	3425.84	0.764228	0.324895	100.43	3
24	2	0.973214	2881.82	2764.37	2976.83	0.449541	0.444444	167.2	4
25	1	0.985119	2570.08	2469.68	2677.42	0.519637	0.459627	165.89	4
26	2	0.984127	3312.92	3566.88	3271.8	0.149194	0.319502	150.75	3
27	1	0.994048	2498.21	2507.71	2443.9	0.847305	0.277439	204.34	4
28	2	0.964286	3070.97	2719.58	3240.17	0.325103	0.251082	134.62	3
29	1	0.972222	2721.78	2707.34	2899.83	0.918367	0.289362	155.99	3
30	2	0.991071	2454.58	2402.33	3176.64	0.924925	0.312883	117.68	4
31	1	0.994048	1959.79	1785.43	2244.34	0.610778	0.070122	177.9	4
32	2	1	1870.86	1901.17	1483.08	0.928571	0.310241	118.28	4
33	1	0.97619	2633.08	2427.29	3089.93	0.689024	0.246835	182.96	4
34	2	0.992063	3266.17	3151.19	3387.85	0.52	0.42449	122.23	3
35	1	0.996032	3195.54	3064.69	3663.2	0.784861	0.311741	148.45	3
36	2	0.970238	2675	2781.49	2547.94	0.53681	0.442308	156.99	4
37	1	0.984127	4506.69	4481.36	4529.45	0.467742	0.363636	120.38	3
38	2	0.992063	3511.03	3298.35	3683.04	0.444	0.440816	128.61	3
39	1	0.984127	2855.6	2832.03	3017.58	0.862903	0.236515	153.17	3
40	2	0.997024	2623.86	2915.19	2195.55	0.59403	0.39697	155.36	4
41	1	0.988095	3110.63	3015.65	3302.95	0.662651	0.312757	137.22	3
42	2	0.980159	3718.5	3411.72	4040.89	0.510121	0.0958333	121.87	3
43	1	0.948413	5218.25	4891.16	5529.25	0.48954	0.520179	117.67	3
44	2	0.984127	4289.99	3430.13	4633.93	0.282258	0.253112	141.18	3
45	1	0.991071	2864.89	2492.41	3251.34	0.498498	0.0122699	164.85	4
46	2	0.97619	3417.67	3604.15	3238.65	0.49187	0.417722	121.21	3
47	1	0.980159	4203.69	4359.31	4013.8	0.546559	0.34728	126.61	3
48	2	1	2289.76	2365.97	1748.9	0.877976	0.36747	123.9	4
49	1	0.985119	2225.23	2250.94	2134.9	0.782477	0.329193	194.93	4
50	2	0.992063	3831.3	4056.08	3620.69	0.484	0.506122	125.28	3
51	1	0.940476	5743.23	5839.77	5632.4	0.535865	0.176471	120.17	3
52	2	0.980159	3457.43	3332.83	3592.77	0.518219	0.447699	121.17	3
53	1	0.992063	6587.74	6484.59	6673.95	0.448	0.526531	119.54	3
54	2	0.988095	3778.17	3859.89	3542.08	0.742972	0.341564	103.42	3
55	1	0.948413	5667.54	6141.57	5232.06	0.476987	0.4	115.05	3
56	2	0.996032	3640.67	3176.79	3724.21	0.151394	0.348178	153.75	3
57	1	0.97619	3946.54	3819.26	4063.72	0.479675	0.451477	120.52	3
58	2	1	2757.17	2279.43	3041.04	0.375	0.448795	178.56	4
59	1	0.845238	3368.29	3359.22	3396.04	0.760563	0.369792	123.46	3
60	2	0.988095	3961.26	4542.85	3600.67	0.389558	0.411523	132.88	3
61	1	0.984127	4455.51	4368.05	4533.48	0.467742	0.443983	120.42	3
62	2	0.992063	3177.17	3295.92	3111.45	0.356	0.428571	134.23	3
63	1	0.997024	2346.57	2461.93	2226.19	0.510448	0.49697	167.06	4
64	2	0.952381	3879.24	3764.43	3980.38	0.475	0.493333	41.29	1
65	1	0.988095	4273.25	4396.75	4055.39	0.634538	0.395062	133.14	3
66	2	0.988095	3597.24	3691.37	3523.72	0.429719	0.534979	129.5	3
67	1	0.996032	3569.05	3353.16	3774.82	0.486056	0.238866	123.4	3
68	2	0.988095	3121.64	2581.76	3485.24	0.401606	0.201646	131.89	3
69	1	0.988095	4064.76	3944.99	4137.26	0.373494	0.485597	113.19	3
70	2	0.997024	2585.31	2494.71	2837.31	0.728358	0.284848	140.38	4
71	1	0.956349	3847.52	4224.3	3557.9	0.431535	0.406114	113.96	3
72	2	0.994048	2620.2	2491.52	2634.59	0.0988024	0.307927	210.25	4
73	1	0.980159	3235.22	3212.71	3305.41	0.757085	0.327801	143.9	3
75	1	0.997024	2835.83	3161.35	2557.59	0.462687	0.472727	160.61	4
76	2	0.988095	3336.63	3238.11	3384.98	0.337349	0.411523	137.28	3
77	1	0.968254	3255.61	3169.88	3659.79	0.82377	0.381974	147.44	3
78	2	0.980159	3868.18	2992.77	4844.31	0.510121	0.025	121.85	3
79	1	0.97619	3239.11	3264.24	3214.59	0.49187	0.420168	121.57	3
80	2	0.996032	3601.43	3561.36	3683.54	0.669323	0.40081	110.28	3
81	1	0.988095	1788.21	1788.59	1785.52	0.872289	0.306173	257.93	5
82	2	1	3183.49	3211.3	3155.01	0.505952	0.506024	166.55	4
83	1	0.988095	4176.06	4215.44	4137.94	0.493976	0.522634	123.21	3
84	2	0.956349	3907.32	4280.92	3705.96	0.352697	0.47807	129.71	3
85	1	0.991071	2800.01	2384	3234.22	0.501502	0.0245399	165.71	4
86	2	0.982143	2709.57	2289.71	3164.2	0.521212	0.075	160.77	4
87	1	0.997024	2672.47	2611.87	3257.03	0.892537	0.321212	209.2	4
88	2	0.994048	2918.64	2848.96	2981.48	0.47006	0.487805	168.83	4
89	1	0.980159	4307.68	4420.87	4204.22	0.481781	0.481172	121.14	3
91	1	0.992063	2479.79	2129.04	2830.54	0.492	0.0244898	124.73	3
92	2	0.994048	2915.86	2498.76	3282.63	0.467066	0.140244	169.15	4
93	1	0.886905	3500.62	3351.05	3654.39	0.506711	0.367424	147.87	4
94	2	0.973214	2606.41	2623.72	2595.07	0.400612	0.423567	172.62	4
95	1	0.973214	2544.76	2466.96	2748.44	0.721713	0.219745	185.89	4
96	2	0.988095	3942	2908.48	5018.94	0.502008	0.300412	123.55	3
98	2	1	2837.21	2421.54	3273.66	0.5	0.0120482	166.49	4
99	1	0.996032	2953.99	2895.77	3409.39	0.884462	0.287449	156.77	3
100	2	0.988095	3457.88	3267.31	3642.4	0.493976	0.356557	124.2	3
101	1	1	3130.35	3024.58	3264.38	0.5625	0.36747	173.4	4
102	2	0.988095	3442.42	3668.15	3191.4	0.53012	0.489712	121.14	3
103	1	0.992063	4812.88	4600.22	5737.5	0.812	0.363265	149.98	3
104	2	0.996032	3895.02	4185.35	3758.49	0.318725	0.453441	137.95	3
